Detector,Time,qPKW
04300V72813_3,1760,1
16219V72812_1,1760,1
21801V72158_1,1760,2
04300V72813_1,1770,1
10236V72161_2,1770,1
16219V72812_1,1770,2
21801V72158_1,1770,1
81077V72158_2,1770,1
10236V72161_1,1780,1
16219V72812_1,1780,1
16219V72812_2,1780,1
21801V72158_2,1780,1
16219V72812_1,1790,1
16219V72812_2,1790,1
21801V72158_1,1790,1
10236V72161_2,1800,2
16219V72812_1,1800,1
16219V72812_2,1800,1
21801V72158_1,1800,2
04300V72813_1,1810,1
10236V72161_2,1810,1
16219V72812_1,1810,1
16219V72812_2,1810,1
21801V72158_1,1810,2
16219V72812_1,1820,2
21801V72158_1,1820,1
81077V72158_1,1820,1
81077V72158_2,1820,1
81077V72158_3,1820,1
81077V72158_4,1820,1
04300V72813_3,1830,1
16219V72812_1,1830,1
16219V72812_2,1830,1
21801V72158_1,1830,1
27372V72852_1,1830,1
04300V72813_1,1840,1
10236V72161_2,1840,1
16219V72812_1,1840,1
16219V72812_4,1840,1
21801V72158_1,1840,1
27372V72852_1,1840,2
04211V1677432_2,1850,1
10236V72161_1,1850,1
16219V72812_1,1850,1
21801V72158_2,1850,1
27372V72852_1,1850,2
04211V1677432_2,1860,1
10236V72161_1,1860,1
10236V72161_3,1860,1
16219V72812_1,1860,1
88356V72157_1,1860,1
04211V1677432_1,1870,1
04211V1677432_2,1870,1
10236V72161_1,1870,1
16219V72812_1,1870,1
16219V72812_2,1870,2
21801V72158_1,1870,1
27372V72852_1,1870,1
04300V72813_1,1880,1
16219V72812_1,1880,1
16219V72812_2,1880,3
16219V72812_4,1880,1
81077V72158_2,1880,1
81077V72158_3,1880,1
16219V72812_1,1890,1
21801V72158_1,1890,1
04300V72813_3,1900,1
10236V72161_2,1900,1
21801V72158_2,1900,1
16219V72812_1,1910,1
04300V72813_1,1920,1
04300V72813_3,1920,1
10236V72161_3,1920,1
21801V72158_1,1920,1
88356V72157_6,1920,1
04211V1677432_2,1930,1
04300V72813_1,1930,1
10236V72161_1,1930,1
10236V72161_2,1930,1
10236V72161_3,1930,1
16219V72812_1,1930,1
81077V72158_2,1930,1
04300V72813_3,1940,1
16219V72812_1,1940,1
16219V72812_2,1940,1
27372V72852_2,1940,1
04300V72813_1,1950,1
16219V72812_1,1950,1
16219V72812_2,1950,2
21801V72158_1,1950,1
27372V72852_1,1950,2
81077V72158_3,1950,1
10236V72161_2,1960,1
10236V72161_3,1960,1
16219V72812_2,1960,1
27372V72852_1,1960,1
88356V72157_1,1960,1
04300V72813_3,1970,1
10236V72161_2,1970,1
16219V72812_2,1970,1
21801V72158_1,1970,2
81077V72158_1,1970,1
10236V72161_2,1980,1
10236V72161_4,1980,1
21801V72158_1,1980,1
27372V72852_2,1980,1
81077V72158_2,1980,1
10236V72161_1,1990,1
16219V72812_1,1990,1
16219V72812_2,1990,1
16219V72812_4,1990,1
21801V72158_1,1990,3
81077V72158_4,1990,1
88356V72157_6,1990,1
16219V72812_2,2000,2
16219V72812_3,2000,1
21801V72158_1,2000,3
27372V72852_2,2000,1
04300V72813_1,2010,1
10236V72161_1,2010,1
10236V72161_3,2010,1
10236V72161_4,2010,1
16219V72812_1,2010,2
16219V72812_2,2010,2
16219V72812_4,2010,1
21801V72158_2,2010,1
04300V72813_1,2020,1
10236V72161_2,2020,1
16219V72812_1,2020,1
16219V72812_2,2020,2
21801V72158_1,2020,2
21801V72158_2,2020,1
04300V72813_1,2030,1
10236V72161_2,2030,1
16219V72812_2,2030,1
21801V72158_1,2030,1
10236V72161_4,2040,1
16219V72812_1,2040,1
16219V72812_2,2040,1
81077V72158_2,2040,1
10236V72161_2,2050,1
16219V72812_1,2050,2
21801V72158_2,2050,1
10236V72161_1,2060,1
10236V72161_2,2060,1
16219V72812_2,2060,2
21801V72158_1,2060,1
04300V72813_1,2070,1
10236V72161_3,2070,1
16219V72812_1,2070,1
16219V72812_2,2070,1
21801V72158_1,2070,1
27372V72852_1,2070,1
88356V72157_1,2070,1
10236V72161_2,2080,1
10236V72161_4,2080,1
21801V72158_1,2080,1
10236V72161_1,2090,1
10236V72161_3,2090,1
16219V72812_2,2090,1
16219V72812_4,2090,1
21801V72158_1,2090,2
27372V72852_2,2090,1
81077V72158_2,2090,1
81077V72158_3,2090,1
04211V1677432_1,2100,1
04300V72813_1,2100,1
16219V72812_2,2100,2
21801V72158_1,2100,2
27372V72852_1,2100,1
10236V72161_2,2110,2
10236V72161_4,2110,1
16219V72812_2,2110,1
