Detector;Time;qPKW;vPKW
81077V72158_4;1020;103;40
88356V72157_6;1020;99;40
16219V72812_4;1020;104;40
27372V72852_1;1020;319;40
27372V72852_2;1020;283;40
04211V1677432_1;1020;141;40
81077V72158_2;1020;412;40
10236V72161_2;1020;230;40
88356V72157_4;1020;9;40
16219V72812_2;1020;489;40
10236V72161_1;1020;164;40
04300V72813_1;1020;241;40
10236V72161_3;1020;105;40
81077V72158_1;1020;201;40
16219V72812_3;1080;36;40
10236V72161_4;1080;38;40
16219V72812_1;1080;435;40
10236V72161_3;1080;97;40
16219V72812_2;1080;417;40
88356V72157_1;1080;80;40
81077V72158_2;1080;395;40
88356V72157_2;1080;13;40
04300V72813_3;1080;212;40
27372V72852_2;1080;253;40
88356V72157_4;1080;7;40
10236V72161_2;1080;190;40
88356V72157_6;1080;93;40
81077V72158_1;1080;164;40
16219V72812_4;1080;74;40
27372V72852_1;1080;288;40
81077V72158_3;1080;205;40
21801V72158_2;1080;173;40
81077V72158_4;1080;82;40
21801V72158_1;1080;266;40
10236V72161_1;1080;144;40
04211V1677432_1;1080;139;40
04211V1677432_2;1080;127;40
04300V72813_1;1080;205;40
16219V72812_4;1140;52;40
88356V72157_6;1140;76;40
04211V1677432_1;1140;91;40
10236V72161_2;1140;143;40
88356V72157_4;1140;13;40
81077V72158_4;1140;45;40
27372V72852_2;1140;189;40
21801V72158_2;1140;123;40
16219V72812_3;1140;29;40
10236V72161_3;1140;86;40
88356V72157_2;1140;19;40
04211V1677432_2;1140;88;40
88356V72157_1;1140;68;40
81077V72158_1;1140;106;40
16219V72812_2;1140;329;40
10236V72161_1;1140;99;40
81077V72158_2;1140;267;40
81077V72158_3;1140;153;40
27372V72852_1;1140;204;40
10236V72161_4;1140;48;40
21801V72158_1;1140;155;40
04300V72813_1;1140;179;40
04300V72813_3;1140;164;40
16219V72812_1;1140;304;40
88356V72157_2;1200;7;40
16219V72812_3;1200;33;40
04211V1677432_1;1200;80;40
04300V72813_3;1200;123;40
04300V72813_1;1200;129;40
88356V72157_1;1200;62;40
27372V72852_2;1200;151;40
81077V72158_3;1200;108;40
10236V72161_4;1200;34;40
16219V72812_1;1200;312;40
88356V72157_4;1200;15;40
16219V72812_4;1200;53;40
10236V72161_2;1200;141;40
27372V72852_1;1200;211;40
21801V72158_2;1200;124;40
88356V72157_6;1200;58;40
21801V72158_1;1200;210;40
81077V72158_4;1200;36;40
81077V72158_2;1200;188;40
81077V72158_1;1200;79;40
10236V72161_1;1200;80;40
10236V72161_3;1200;93;40
16219V72812_2;1200;285;40
04211V1677432_2;1200;85;40
16219V72812_4;1260;47;40
04300V72813_3;1260;113;40
10236V72161_3;1260;47;40
16219V72812_2;1260;210;40
10236V72161_4;1260;34;40
27372V72852_1;1260;144;40
27372V72852_2;1260;116;40
88356V72157_1;1260;51;40
88356V72157_2;1260;6;40
88356V72157_4;1260;9;40
10236V72161_2;1260;105;40
88356V72157_6;1260;46;40
81077V72158_1;1260;70;40
16219V72812_3;1260;29;40
21801V72158_2;1260;75;40
81077V72158_2;1260;123;40
04300V72813_1;1260;92;40
81077V72158_3;1260;80;40
81077V72158_4;1260;27;40
10236V72161_1;1260;70;40
04211V1677432_1;1260;48;40
04211V1677432_2;1260;58;40
16219V72812_1;1260;220;40
21801V72158_1;1260;141;40
04300V72813_1;1320;104;40
21801V72158_2;1320;77;40
21801V72158_1;1320;127;40
16219V72812_4;1320;61;40
10236V72161_1;1320;77;40
10236V72161_2;1320;100;40
10236V72161_3;1320;71;40
10236V72161_4;1320;54;40
27372V72852_1;1320;120;40
27372V72852_2;1320;88;40
88356V72157_1;1320;40;40
88356V72157_2;1320;14;40
88356V72157_6;1320;49;40
81077V72158_1;1320;43;40
81077V72158_2;1320;90;40
81077V72158_3;1320;81;40
04300V72813_3;1320;115;40
81077V72158_4;1320;25;40
16219V72812_3;1320;23;40
04211V1677432_1;1320;44;40
16219V72812_2;1320;189;40
04211V1677432_2;1320;51;40
16219V72812_1;1320;228;40
21801V72158_2;1380;75;40
16219V72812_3;1380;51;40
10236V72161_1;1380;110;40
10236V72161_2;1380;118;40
16219V72812_2;1380;218;40
10236V72161_3;1380;94;40
10236V72161_4;1380;72;40
16219V72812_1;1380;303;40
27372V72852_1;1380;175;40
27372V72852_2;1380;101;40
04211V1677432_2;1380;44;40
88356V72157_1;1380;61;40
04211V1677432_1;1380;44;40
88356V72157_6;1380;52;40
21801V72158_1;1380;210;40
16219V72812_4;1380;78;40
81077V72158_1;1380;52;40
04300V72813_1;1380;125;40
81077V72158_4;1380;23;40
81077V72158_2;1380;113;40
81077V72158_3;1380;71;40
04300V72813_3;1380;120;40
